Course Number,Title,Credits,Term(s) Offered,Campus/Online,URL
19595,Selected Topics in Electrical and Computer Engineering,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=506&show=true&type=undergrad
20001,Electrical Engineering Fundamentals I,3,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=716&show=true&type=undergrad
20002,Electrical Engineering Fundamentals II,3,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=725&show=true&type=undergrad
20007,Electrical Engineering Fundamentals I Lab,1,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=726&show=true&type=undergrad
20008,Electrical Engineering Fundamentals II Lab,1,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=727&show=true&type=undergrad
20869,Discrete Mathematics for Computer Engineering,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=809&show=true&type=undergrad
20875,Python for Data Science,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=729&show=true&type=undergrad
26400,Advanced C Programming,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=591&show=true&type=undergrad
27000,Introduction to Digital System Design ,4,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=607&show=true&type=undergrad
29199,Professional Practice Extensive Co-Op I,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=557&show=true&type=undergrad
29299,Professional Practice Extensive Co-Op II,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=558&show=true&type=undergrad
29401,Electrical and Computer Engineering Sophomore Seminar,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=724&show=true&type=undergrad
29595,Selected Topics in Electrical and Computer Engineering,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=484&show=true&type=undergrad
29600,Electrical and Computer Engineering Projects,0,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=633&show=true&type=undergrad
30010,Introduction to Machine Learning and Pattern Recognition ,3,Maymester,Study Abroad Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=583&show=true&type=undergrad
30100,Signals and Systems,3,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=33&show=true&type=undergrad
30200,Probabilistic Methods in Electrical and Computer Engineering,3,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=34&show=true&type=undergrad
30411,Electromagnetics I,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=736&show=true&type=undergrad
30412,Electromagnetics II,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=728&show=true&type=undergrad
30414,"Elements of Fiber Optics, Lasers and Optoelectronics",3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=765&show=true&type=undergrad
30415,Fiber Optics and Lasers Laboratory,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=766&show=true&type=undergrad
30416,Basics of Engineering Optics,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=767&show=true&type=undergrad
30417,Engineering Optics Laboratory,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=768&show=true&type=undergrad
30500,Semiconductor Devices,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=40&show=true&type=undergrad
30600,Electronic Circuits and Systems Laboratory,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=84&show=true&type=undergrad
30653,Introduction to Nanotechnology and Quantum Science and Technology,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=812&show=true&type=undergrad
30700,Electromagnetic Fields and Waves Laboratory,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=85&show=true&type=undergrad
30800,Systems Simulation and Control Laboratory,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=86&show=true&type=undergrad
30834,Fundamentals of Computer Graphics ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=584&show=true&type=undergrad
30861,Software Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=814&show=true&type=undergrad
30862,Object-Oriented Programming in C++ and Java,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=579&show=true&type=undergrad
30864,Software Engineering Tools,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=815&show=true&type=undergrad
31032,Power Systems Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=764&show=true&type=undergrad
31033,Power Electronics,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=810&show=true&type=undergrad
32100,Electromechanical Motion Devices,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=35&show=true&type=undergrad
32300,Electromechanical Motion Devices and Systems Laboratory,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=45&show=true&type=undergrad
33700,ASIC Design Laboratory ,2,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=613&show=true&type=undergrad
36200,Microprocessor Systems and Interfacing ,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=612&show=true&type=undergrad
36800,Data Structures,3,"Each Fall, Spring, Summer",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=542&show=true&type=undergrad
36900,Discrete Mathematics for Computer Engineering,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=47&show=true&type=undergrad
38199,Professional Practice Co-Op I,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=554&show=true&type=undergrad
38200,Feedback System Analysis and Design,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=74&show=true&type=undergrad
38299,Professional Practice Co-Op II,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=555&show=true&type=undergrad
38399,Professional Practice Co-Op III,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=556&show=true&type=undergrad
39399,Professional Practice Extensive Co-Op III,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=559&show=true&type=undergrad
39401,Professional Communication and Diversity,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=704&show=true&type=undergrad
39499,Professional Practice Extensive Co-Op IV,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=560&show=true&type=undergrad
39595,Fundamentals of Quantum Technology,3,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=821&show=true&type=undergrad
39595,Introduction to Nanotechnology and Quantum Science and Technology,3,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=737&show=true&type=undergrad
39595,Programming with C++ Lab,1,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=771&show=true&type=undergrad
39595,Programming with Java Lab,1,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=772&show=true&type=undergrad
39595,Selected Topics in Electrical and Computer Engineering,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=461&show=true&type=undergrad
39599,Professional Practice Extensive Co-Op V,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=561&show=true&type=undergrad
39600,Industrial Practice Seminar,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=311&show=true&type=undergrad
39699,Professional Practice Internship,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=562&show=true&type=undergrad
40020,Sound Reinforcement System Design,3,None,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=574&show=true&type=undergrad
40400,Introduction to Computer Security,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=515&show=true&type=undergrad
40862,Software for Embedded Systems ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=662&show=true&type=undergrad
40863,Introduction to Computer Networks,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=816&show=true&type=undergrad
40875,Data Mining Basic Concepts and Techniques,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=813&show=true&type=undergrad
41023,Electromechanical Motion Control,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=820&show=true&type=undergrad
41200,Introduction to Engineering Optics ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=615&show=true&type=undergrad
41300,Introduction to Optics Laboratory,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=88&show=true&type=undergrad
41400,Elements of Electro And Fiber Optics,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=48&show=true&type=undergrad
41500,Electro- And Fiber Optics Laboratory,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=89&show=true&type=undergrad
42300,Electromechanical Motion Control-Planned last offering will be Spring 2022,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=49&show=true&type=undergrad
43200,Elements of Power System Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=37&show=true&type=undergrad
43300,Power Electronics ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=543&show=true&type=undergrad
43700,Computer Design and Prototyping,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=143&show=true&type=undergrad
43800,Digital Signal Processing with Applications,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=62&show=true&type=undergrad
44000,Transmission of Information,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=75&show=true&type=undergrad
44100,Distributed Parameter Systems,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=94&show=true&type=undergrad
45500,Integrated Circuit Engineering ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=592&show=true&type=undergrad
45600,Digital Integrated Circuit Analysis and Design,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=65&show=true&type=undergrad
45700,Electronic Design Laboratory,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=98&show=true&type=undergrad
46100,Software Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=402&show=true&type=undergrad
46300,Introduction to Computer Communication Networks ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=604&show=true&type=undergrad
46800,Introduction to Compilers and Translation Engineering,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=530&show=true&type=undergrad
46900,Operating Systems Engineering,4,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=56&show=true&type=undergrad
47000,Curricular Practical Training,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=431&show=true&type=undergrad
47001,Part-Time Curricular Practical Training,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=763&show=true&type=undergrad
47300,Introduction to Artificial Intelligence,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=64&show=true&type=undergrad
47700,Digital Systems Senior Project,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=397&show=true&type=undergrad
48300,Digital Control Systems Analysis and Design ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=620&show=true&type=undergrad
49022,Electrical Engineering Senior Design Projects,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=661&show=true&type=undergrad
49401,Professional Communication Capstone,1,"Each Fall, Spring",Online only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=723&show=true&type=undergrad
